user_id,email,username,password_hash,phone_number,role,rating_avg,created_at
32,lina.miller32@drexel.edu,lina.miller32,x,2156524639,both,5.0,2025-11-08T00:00:00
33,sydney.moore33@drexel.edu,sydney.moore33,x,2152163382,rider,3.98,2025-10-24T00:00:00
34,marcus.wilson34@drexel.edu,marcus.wilson34,x,2154008671,rider,5.0,2025-10-06T00:00:00
35,diego.moore35@drexel.edu,diego.moore35,x,2158845299,rider,3.73,2025-11-18T00:00:00
36,quinn.jones36@drexel.edu,quinn.jones36,x,2153077025,driver,4.63,2025-11-03T00:00:00
37,elliot.thomas37@drexel.edu,elliot.thomas37,x,2153776692,both,4.32,2025-11-18T00:00:00
38,diego.davis38@drexel.edu,diego.davis38,x,2157980649,rider,4.98,2025-10-29T00:00:00
39,blake.hernandez39@drexel.edu,blake.hernandez39,x,2153015056,rider,4.38,2025-10-05T00:00:00
40,sydney.smith40@drexel.edu,sydney.smith40,x,2156935091,driver,4.36,2025-11-15T00:00:00
41,maria.johnson41@drexel.edu,maria.johnson41,x,2153920502,rider,4.37,2025-10-03T00:00:00
42,sydney.williams42@drexel.edu,sydney.williams42,x,2156313054,rider,4.26,2025-10-09T00:00:00
43,diego.thompson43@drexel.edu,diego.thompson43,x,2156833613,driver,4.16,2025-11-20T00:00:00
44,harper.thomas44@drexel.edu,harper.thomas44,x,2153597274,rider,4.2,2025-10-27T00:00:00
45,peyton.johnson45@drexel.edu,peyton.johnson45,x,2157648591,driver,4.09,2025-11-11T00:00:00
46,morgan.johnson46@drexel.edu,morgan.johnson46,x,2155377432,driver,4.46,2025-10-13T00:00:00
47,casey.jackson47@drexel.edu,casey.jackson47,x,2155763243,rider,4.22,2025-10-12T00:00:00
48,avery.hernandez48@drexel.edu,avery.hernandez48,x,2154095528,both,5.0,2025-11-24T00:00:00
49,quinn.brown49@drexel.edu,quinn.brown49,x,2152424365,driver,4.73,2025-11-04T00:00:00
50,alex.williams50@drexel.edu,alex.williams50,x,2159770929,driver,4.43,2025-10-31T00:00:00
51,casey.taylor51@drexel.edu,casey.taylor51,x,2159570239,rider,4.81,2025-10-25T00:00:00
52,alex.taylor52@drexel.edu,alex.taylor52,x,2154224684,both,4.47,2025-11-14T00:00:00
53,diego.jackson53@drexel.edu,diego.jackson53,x,2157552178,driver,4.08,2025-10-10T00:00:00
54,casey.wilson54@drexel.edu,casey.wilson54,x,2153826207,both,3.96,2025-11-17T00:00:00
55,sydney.johnson55@drexel.edu,sydney.johnson55,x,2152420624,driver,4.16,2025-11-02T00:00:00
56,blake.miller56@drexel.edu,blake.miller56,x,2152477140,both,4.62,2025-11-08T00:00:00
57,taylor.garcia57@drexel.edu,taylor.garcia57,x,2155387114,rider,4.52,2025-11-26T00:00:00
58,rowan.garcia58@drexel.edu,rowan.garcia58,x,2156856325,driver,4.09,2025-11-07T00:00:00
59,rowan.martin59@drexel.edu,rowan.martin59,x,2154653902,both,4.12,2025-10-14T00:00:00
60,jamal.martinez60@drexel.edu,jamal.martinez60,x,2154002242,rider,4.79,2025-10-30T00:00:00
61,sydney.williams61@drexel.edu,sydney.williams61,x,2152078143,driver,4.82,2025-11-06T00:00:00
62,morgan.williams62@drexel.edu,morgan.williams62,x,2156510004,rider,4.31,2025-11-26T00:00:00
63,taylor.garcia63@drexel.edu,taylor.garcia63,x,2155099817,rider,5.0,2025-10-29T00:00:00
64,quinn.wilson64@drexel.edu,quinn.wilson64,x,2157131124,both,4.57,2025-11-12T00:00:00
65,quinn.wilson65@drexel.edu,quinn.wilson65,x,2159816136,driver,3.94,2025-11-30T00:00:00
66,cameron.rodriguez66@drexel.edu,cameron.rodriguez66,x,2152968285,both,4.39,2025-10-19T00:00:00
67,elliot.davis67@drexel.edu,elliot.davis67,x,2158019767,rider,4.17,2025-11-13T00:00:00
68,maria.rodriguez68@drexel.edu,maria.rodriguez68,x,2156239678,driver,5.0,2025-10-06T00:00:00
69,maria.thomas69@drexel.edu,maria.thomas69,x,2158957076,rider,3.97,2025-10-01T00:00:00
70,sydney.jones70@drexel.edu,sydney.jones70,x,2157344494,both,4.63,2025-11-15T00:00:00
71,logan.jackson71@drexel.edu,logan.jackson71,x,2152081115,rider,4.77,2025-11-30T00:00:00
72,priya.jones72@drexel.edu,priya.jones72,x,2156576743,rider,4.05,2025-10-28T00:00:00
73,cameron.johnson73@drexel.edu,cameron.johnson73,x,2154585858,rider,4.77,2025-11-29T00:00:00
74,marcus.johnson74@drexel.edu,marcus.johnson74,x,2159540726,rider,4.15,2025-10-23T00:00:00
75,lina.jackson75@drexel.edu,lina.jackson75,x,2159416659,both,3.86,2025-11-09T00:00:00
76,diego.jones76@drexel.edu,diego.jones76,x,2159765869,both,5.0,2025-11-21T00:00:00
77,riley.thomas77@drexel.edu,riley.thomas77,x,2152207923,rider,3.58,2025-11-29T00:00:00
78,sydney.thomas78@drexel.edu,sydney.thomas78,x,2158729636,driver,4.37,2025-10-11T00:00:00
79,marcus.brown79@drexel.edu,marcus.brown79,x,2155208992,both,4.1,2025-11-24T00:00:00
80,harper.garcia80@drexel.edu,harper.garcia80,x,2153674138,driver,4.07,2025-11-20T00:00:00
81,jamie.garcia81@drexel.edu,jamie.garcia81,x,2152198511,driver,4.48,2025-10-26T00:00:00
82,sydney.rodriguez82@drexel.edu,sydney.rodriguez82,x,2159250718,rider,4.45,2025-11-02T00:00:00
83,drew.jackson83@drexel.edu,drew.jackson83,x,2154777886,both,4.03,2025-10-08T00:00:00
84,avery.miller84@drexel.edu,avery.miller84,x,2156870339,both,4.38,2025-10-28T00:00:00
85,charlie.martinez85@drexel.edu,charlie.martinez85,x,2155660737,driver,4.59,2025-11-02T00:00:00
86,morgan.taylor86@drexel.edu,morgan.taylor86,x,2159545592,driver,4.38,2025-10-01T00:00:00
87,blake.jackson87@drexel.edu,blake.jackson87,x,2157761775,driver,5.0,2025-11-17T00:00:00
88,diego.davis88@drexel.edu,diego.davis88,x,2155055311,rider,5.0,2025-11-09T00:00:00
89,sydney.brown89@drexel.edu,sydney.brown89,x,2158037736,both,4.12,2025-11-02T00:00:00
90,sam.thomas90@drexel.edu,sam.thomas90,x,2154736220,rider,4.34,2025-10-27T00:00:00
91,jamal.taylor91@drexel.edu,jamal.taylor91,x,2157681754,driver,4.6,2025-10-12T00:00:00
92,elliot.thompson92@drexel.edu,elliot.thompson92,x,2154524550,rider,4.57,2025-10-14T00:00:00
93,logan.thompson93@drexel.edu,logan.thompson93,x,2157089046,driver,4.11,2025-10-30T00:00:00
94,peyton.hernandez94@drexel.edu,peyton.hernandez94,x,2157667572,rider,3.55,2025-11-20T00:00:00
95,diego.miller95@drexel.edu,diego.miller95,x,2157526840,rider,4.54,2025-11-02T00:00:00
96,jamal.white96@drexel.edu,jamal.white96,x,2154811762,rider,4.68,2025-10-20T00:00:00
97,jamie.davis97@drexel.edu,jamie.davis97,x,2153236094,rider,4.31,2025-10-16T00:00:00
98,harper.white98@drexel.edu,harper.white98,x,2159128116,driver,3.6,2025-11-06T00:00:00
99,casey.taylor99@drexel.edu,casey.taylor99,x,2156147136,rider,4.63,2025-10-10T00:00:00
100,maria.smith100@drexel.edu,maria.smith100,x,2159488173,driver,4.42,2025-10-28T00:00:00
101,jamie.miller101@drexel.edu,jamie.miller101,x,2158745362,both,4.21,2025-11-03T00:00:00
102,peyton.johnson102@drexel.edu,peyton.johnson102,x,2156675858,rider,4.66,2025-11-21T00:00:00
103,peyton.martin103@drexel.edu,peyton.martin103,x,2156688605,driver,4.04,2025-11-30T00:00:00
104,lina.hernandez104@drexel.edu,lina.hernandez104,x,2157139300,driver,4.73,2025-11-28T00:00:00
105,quinn.hernandez105@drexel.edu,quinn.hernandez105,x,2159526327,rider,4.14,2025-11-25T00:00:00
